jv_spec_Tmat: Spheroidal mineral dust optical properties at 12 wavelengths (inderjeet singh, rvmartin, 09/05/2024 )
==========================================================================================================
W(nm)      Q      r-eff  ss-alb  pi(0)   pi(1)    pi(2)   pi(3)   pi(4)   pi(5)   pi(6)   pi(7)  
0.60000 2.22017 2.48980 0.94133 1.00000 2.20896 3.29007 4.04303 4.79918 5.38836 6.06808 6.67094
0.67500 2.24360 2.48980 0.82842 1.00000 2.37763 3.56245 4.44719 5.27735 5.98045 6.72082 7.40379
0.80000 2.26709 2.48980 0.86227 1.00000 2.30135 3.43215 4.22664 4.97103 5.56399 6.20851 6.78185
0.87000 2.28522 2.48980 0.86401 1.00000 2.28798 3.40935 4.18380 4.90485 5.46568 6.07868 6.61450
1.00000 2.32195 2.48980 0.96545 1.00000 2.13131 3.16245 3.79925 4.40319 4.79798 5.28338 5.67581
1.02000 2.33006 2.48980 0.97647 1.00000 2.11002 3.13425 3.75500 4.34879 4.72565 5.19770 5.57285
0.30000 2.10997 3.72130 0.58350 1.00000 2.77020 4.43910 5.99470 7.56445 9.11375 10.66350 12.18000
0.35000 2.12366 3.72130 0.64557 1.00000 2.68377 4.23170 5.51880 6.87007 8.20293 9.56617 10.89333
0.40000 2.13017 3.72130 0.75200 1.00000 2.65120 4.15985 5.37180 6.64803 7.92075 9.20838 10.46275
0.44000 2.13779 3.72130 0.79045 1.00000 2.46560 3.85040 4.66668 5.68483 6.66142 7.70890 8.69862
0.50000 2.15010 3.72130 0.86127 1.00000 2.34797 3.67202 4.44447 5.25007 6.10053 7.06858 7.89217
0.55000 2.16819 3.72130 0.89596 1.00000 2.26644 3.52218 4.35349 5.13944 5.85875 6.74619 7.55134
0.60000 2.17486 3.72130 0.91869 1.00000 2.24409 3.46613 4.27717 5.02558 5.67959 6.53150 7.30548
0.67500 2.18836 3.72130 0.77641 1.00000 2.47441 3.77441 4.80358 5.76398 6.63228 7.56582 8.47149
0.80000 2.19166 3.72130 0.81842 1.00000 2.40498 3.62812 4.57888 5.46754 6.24342 7.06433 7.84670
0.87000 2.20673 3.72130 0.82038 1.00000 2.39505 3.60173 4.52590 5.39392 6.14299 6.93141 7.67258
1.00000 2.24263 3.72130 0.95133 1.00000 2.20497 3.28242 4.01763 4.73563 5.28300 5.91027 6.47135
1.02000 2.24903 3.72130 0.96667 1.00000 2.18211 3.24805 3.96288 4.66871 5.19362 5.80723 6.34841
